movie_id,title,region
34780991,哪吒之魔童闹海,华语
36438475,浪浪山小妖怪,华语
26794435,哪吒之魔童降世,华语
26752088,我不是药神,华语
36154853,好东西,华语
1291546,霸王别姬,华语
35725869,年会不能停！,华语
36151692,周处除三害,华语
36809864,南京照相馆,华语
35267208,流浪地球2,华语
1291543,功夫,华语
3742360,让子弹飞,华语
1292213,大话西游之大圣娶亲,华语
37332784,我，许可,华语
1299398,大话西游之月光宝盒,华语
1307914,无间道,华语
1306249,唐伯虎点秋香,华语
36035676,长安三万里,华语
30166972,少年的你,华语
1302425,喜剧之王,华语
36448279,罗小黑战记2,华语
36587974,出走的决心,华语
1292365,活着,华语
36712987,破·地狱,华语
26861685,红海行动,华语
1828115,色，戒,华语
1297518,九品芝麻官,华语
26709258,罗小黑战记,华语
25921812,驴得水,华语
1862151,疯狂的石头,华语
35376457,爱情神话,华语
27110296,无名之辈,华语
36149032,我们一起摇太阳,华语
1291557,花样年华,华语
35883131,雄狮少年2,华语
1297447,倩女幽魂,华语
1297747,少林足球,华语
35144311,雄狮少年,华语
1291999,重庆森林,华语
27113517,血观音,华语
1292434,一一,华语
1291818,饮食男女,华语
1291858,鬼子来了,华语
35698284,关于我和鬼变成家人的那件事,华语
35131346,隐入尘烟,华语
26425063,无双,华语
1418019,大闹天宫,华语
1293351,食神,华语
26277313,西游记之大圣归来,华语
1305164,甜蜜蜜,华语
24719063,烈日灼心,华语
34940879,年少日记,华语
1307106,无间道2,华语
3649049,金陵十三钗,华语
1297574,英雄本色,华语
25917973,心迷宫,华语
27059130,大佛普拉斯,华语
1291875,阳光灿烂的日子,华语
4920528,那些年，我们一起追的女孩,华语
1316510,射雕英雄传之东成西就,华语
1293323,大红灯笼高高挂,华语
1292679,春光乍泄,华语
1297863,武状元苏乞儿,华语
1292328,东邪西毒,华语
1303394,青蛇,华语
1301168,卧虎藏龙,华语
1292287,新龙门客栈,华语
1307739,国产凌凌漆,华语
3821067,一代宗师,华语
1295409,纵横四海,华语
1428581,天书奇谭,华语
1302090,逃学威龙,华语
36680492,大濛,华语
30292777,阳光普照,华语
1303037,喜宴,华语
1292329,牯岭街少年杀人事件,华语
3734112,风声,华语
1461403,茶馆,华语
25716096,狗十三,华语
1853621,落叶归根,华语
1307315,哪吒闹海,华语
1297223,鹿鼎记,华语
1329936,大内密探零零发,华语
1291550,天下无贼,华语
10831445,百鸟朝凤,华语
26647117,暴裂无声,华语
1422283,高山下的花环,华语
1299680,整蛊专家,华语
1305690,阿飞正传,华语
21359690,熊出没之过年,华语
3792799,岁月神偷,华语
2124703,疯狂的赛车,华语
25890005,山河故人,华语
3804891,无人区,华语
1308575,蓝色大门,华语
1308857,可可西里,华语
4876722,钢的琴,华语
2124724,不能说的秘密,华语
26220731,熊出没之雪岭熊风,华语
1300883,赌神,华语
4135710,Hello！树先生,华语
27119586,谁先爱上他的,华语
25798222,亲爱的,华语
1300064,家有喜事,华语
1299765,回魂夜,华语
24875534,十二公民,华语
1297880,芙蓉镇,华语
1307694,无间道3：终极无间,华语
3230459,李米的猜想,华语
24753811,熊出没之夺宝熊兵,华语
1294194,悲情城市,华语
35268501,乘船而去,华语
1306951,鹿鼎记2,华语
1307856,背靠背，脸对脸,华语
1766086,太阳照常升起,华语
36066128,画江湖之天罡,华语
1299643,宝莲灯,华语
1303173,甲方乙方,华语
1299288,胭脂扣,华语
6011805,一九四二,华语
1292052,肖申克的救赎,欧美
26817136,疯狂动物城2,欧美
25662329,疯狂动物城,欧美
3011051,恐怖游轮,欧美
20495023,寻梦环游记,欧美
1292722,泰坦尼克号,欧美
1889243,星际穿越,欧美
1292064,楚门的世界,欧美
35010610,挽救计划,欧美
1292720,阿甘正传,欧美
1295644,这个杀手不太冷,欧美
3541415,盗梦空间,欧美
27060077,绿皮书,欧美
3319755,怦然心动,欧美
1295038,哈利·波特与魔法石,欧美
1292001,海上钢琴师,欧美
2129039,飞屋环游记,欧美
